Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas
Kolosh,Bege,Dafiti,Tênis Kolosh Zíper e Strass Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,99","R$ 159,99","R$ 170,20",2x
VIA UNO,Marrom,Dafiti,Sapatilha Feminina VIA UNO Bico Fino Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99",N/A,"R$ 89,99",1x
Santa Lolla,Preto,Dafiti,Tênis Santa Lolla Recortes Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,99","R$ 179,99","R$ 191,48",3x
Vizzano,Preto,Dafiti,Scarpin Vizzano Liso Preto,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x
Santa Lolla,Marrom,Dafiti,Sapatilha Feminina Santa Lolla Ponta Fina Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 249,90","R$ 199,99","R$ 212,76",3x
Beira Rio,Preto,Dafiti,Scarpin Beira Rio Salto Agulha Preto,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 104,99","R$ 111,69",1x
Vizzano,Nude,Dafiti,Sandália Vizzano Tiras Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 119,99","R$ 69,99","R$ 74,46",1x
Colcci,Preto,Dafiti,Tênis Feminino Colcci Casual Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 269,99","R$ 189,99","R$ 202,12",3x
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Baixo Marrom,"Calçados,Calçados Femininos,Tamanco","R$ 109,99","R$ 79,99","R$ 85,10",1x
Vizzano,Caramelo,Dafiti,Rasteira Vizzano Fivelas Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 89,90","R$ 69,99","R$ 74,46",1x
Moleca,Marrom,Dafiti,Rasteira Papete Moleca Lisa Marrom,"Calçados,Calçados Femininos,Papete","R$ 99,99","R$ 79,99","R$ 85,10",1x
Anacapri,Grafite,Dafiti,Rasteira Feminina Anacapri Metalizada Grafite,"Calçados,Calçados Femininos,Rasteirinhas","R$ 109,99","R$ 79,99","R$ 85,10",1x
Bebecê,Dourado,Dafiti,Sandália Feminina Bebecê Salto Bloco Tir...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 79,99","R$ 85,10",1x
Santa Lolla,Marrom,Dafiti,Sandália Feminina Santa Lolla Salto Bloco Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 159,90","R$ 119,99","R$ 127,65",2x
Bebecê,Vinho,Dafiti,Tamanco Bebecê Salto Bloco Vinho,"Calçados,Calçados Femininos,Tamanco","R$ 99,99","R$ 79,99","R$ 85,10",1x
VIA UNO,Preto,Dafiti,Rasteira Feminina Via Uno Tiras Pedrarias Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,99","R$ 79,99","R$ 85,10",1x
VIA UNO,Dourado,Dafiti,Rasteira Feminina Via Uno Tira Trançada Dourado,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,99","R$ 99,99","R$ 106,37",1x
Bebecê,Nude,Dafiti,Scarpin Feminino Bebecê Tiras Salto Deta...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x
Bebecê,Marrom,Dafiti,Sandália Bebecê Lisa Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 84,99","R$ 90,41",1x
Santa Lolla,Nude,Dafiti,Rasteira Santa Lolla Nó Nude,"Calçados,Calçados Femininos,Rasteirinhas","R$ 169,90","R$ 129,99","R$ 138,29",2x
Vizzano,Nude,Dafiti,Sapatilha Vizzano Bico Fino Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 79,99","R$ 85,10",1x
Melissa,Preto,Dafiti,Sandália Feminina Melissa Salto Baixo Tr...,"Calçados,Calçados Femininos,Sandálias","R$ 199,90","R$ 187,90","R$ 199,89",3x
Vizzano,Marrom,Dafiti,Rasteira Feminina Vizzano Detalhe Metálico Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 69,99","R$ 74,46",1x
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Bloco Ba...,"Calçados,Calçados Femininos,Sandálias","R$ 149,99","R$ 109,99","R$ 117,01",1x
Bottero,Preto,Dafiti,Bota Bottero Fivela Preto,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 279,99","R$ 154,99","R$ 164,88",2x
Bebecê,Caramelo,Dafiti,Scarpin Bebecê Texturizado Croco Salto B...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 89,99","R$ 95,73",1x
Santa Lolla,Bege,Dafiti,Scarpin Santa Lolla Slingback Bege,"Calçados,Calçados Femininos,Scarpin","R$ 244,99","R$ 164,99","R$ 175,52",2x
VIA UNO,Preto,Dafiti,Bota Feminina VIA UNO Cano Baixo Salto Bloco Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 179,99","R$ 134,99","R$ 143,61",2x
